Signal Legend:

Key        Signal Name

0        = sbox_out
1        = values_out
2        = counter_test
3        = test_out
4        = done_out

Data Table:

Signals-> 0   1        2   3 4 

sample

-128      137 8168316  0   0 0 
-127      137 8168316  0   0 0 
-126      137 8168316  0   0 0 
-125      137 8168316  0   0 0 
-124      137 8168316  0   0 0 
-123      137 8168316  0   0 0 
-122      137 8168316  0   0 0 
-121      137 8168316  0   0 0 
-120      137 8168316  0   0 0 
-119      137 8168316  0   0 0 
-118      137 8168316  0   0 0 
-117      137 8168316  0   0 0 
-116      137 8168316  0   0 0 
-115      137 8168316  0   0 0 
-114      137 8168316  0   0 0 
-113      137 8168316  0   0 0 
-112      137 8168316  0   0 0 
-111      137 8168316  0   0 0 
-110      137 8168316  0   0 0 
-109      137 8168316  0   0 0 
-108      137 8168316  0   0 0 
-107      137 8168316  0   0 0 
-106      137 8168316  0   0 0 
-105      137 8168316  0   0 0 
-104      137 8168316  0   0 0 
-103      137 8168316  0   0 0 
-102      137 8168316  0   0 0 
-101      137 8168316  0   0 0 
-100      137 8168316  0   0 0 
-99       137 8168316  0   0 0 
-98       137 8168316  0   0 0 
-97       137 8168316  0   0 0 
-96       137 8168316  0   0 0 
-95       137 8168316  0   0 0 
-94       137 8168316  0   0 0 
-93       137 8168316  0   0 0 
-92       137 8168316  0   0 0 
-91       137 8168316  0   0 0 
-90       137 8168316  0   0 0 
-89       137 8168316  0   0 0 
-88       137 8168316  0   0 0 
-87       137 8168316  0   0 0 
-86       137 8168316  0   0 0 
-85       137 8168316  0   0 0 
-84       137 8168316  0   0 0 
-83       137 8168316  0   0 0 
-82       137 8168316  0   0 0 
-81       137 8168316  0   0 0 
-80       137 8168316  0   0 0 
-79       137 8168316  0   0 0 
-78       137 8168316  0   0 0 
-77       137 8168316  0   0 0 
-76       137 8168316  0   0 0 
-75       137 8168316  0   0 0 
-74       137 8168316  0   0 0 
-73       137 8168316  0   0 0 
-72       137 8168316  0   0 0 
-71       137 8168316  0   0 0 
-70       137 8168316  0   0 0 
-69       137 8168316  0   0 0 
-68       137 8168316  0   0 0 
-67       137 8168316  0   0 0 
-66       137 8168316  0   0 0 
-65       137 8168316  0   0 0 
-64       137 8168316  0   0 0 
-63       137 8168316  0   0 0 
-62       137 8168316  0   0 0 
-61       137 8168316  0   0 0 
-60       137 8168316  0   0 0 
-59       137 8168316  0   0 0 
-58       137 8168316  0   0 0 
-57       137 8168316  0   0 0 
-56       137 8168316  0   0 0 
-55       137 8168316  0   0 0 
-54       137 8168316  0   0 0 
-53       137 8168316  0   0 0 
-52       137 8168316  0   0 0 
-51       137 8168316  0   0 0 
-50       137 8168316  0   0 0 
-49       137 8168316  0   0 0 
-48       137 8168316  0   0 0 
-47       137 8168316  0   0 0 
-46       137 8168316  0   0 0 
-45       137 8168316  0   0 0 
-44       137 8168316  0   0 0 
-43       137 8168316  0   0 0 
-42       137 8168316  0   0 0 
-41       137 8168316  0   0 0 
-40       137 8168316  0   0 0 
-39       137 8168316  0   0 0 
-38       137 8168316  0   0 0 
-37       137 8168316  0   0 0 
-36       137 8168316  0   0 0 
-35       137 8168316  0   0 0 
-34       137 8168316  0   0 0 
-33       137 8168316  0   0 0 
-32       137 8168316  0   0 0 
-31       137 8168316  0   0 0 
-30       137 8168316  0   0 0 
-29       137 8168316  0   0 0 
-28       137 8168316  0   0 0 
-27       137 8168316  0   0 0 
-26       137 8168316  0   0 0 
-25       137 8168316  0   0 0 
-24       137 8168316  0   0 0 
-23       137 8168316  0   0 0 
-22       137 8168316  0   0 0 
-21       137 8168316  0   0 0 
-20       137 8168316  0   0 0 
-19       137 8168316  0   0 0 
-18       137 8168316  0   0 0 
-17       137 8168316  0   0 0 
-16       137 8168316  0   0 0 
-15       137 8168316  0   0 0 
-14       137 8168316  0   0 0 
-13       137 8168316  0   0 0 
-12       137 8168316  0   0 0 
-11       137 8168316  0   0 0 
-10       137 8168316  0   0 0 
-9        137 8168316  0   0 0 
-8        137 8168316  0   0 0 
-7        137 8168316  0   0 0 
-6        137 8168316  0   0 0 
-5        137 8168316  0   0 0 
-4        137 8168316  0   0 0 
-3        137 8168316  0   0 0 
-2        137 8168316  0   0 0 
-1        137 8168316  0   0 0 
0         91  -8342430 1   1 0 
1         62  -8258049 2   1 0 
2         61  -8244848 3   1 0 
3         70  -8156683 4   1 0 
4         144 -8010835 5   1 0 
5         196 -7991699 6   1 0 
6         84  -7939568 7   1 0 
7         14  -7913959 8   1 0 
8         25  -7885507 9   1 0 
9         168 -7692961 10  1 0 
10        162 -7543185 11  1 0 
11        141 -7506504 12  1 0 
12        140 -7460561 13  1 0 
13        120 -7352418 14  1 0 
14        254 -7255692 15  1 0 
15        218 -7179143 16  1 0 
16        249 -7131757 17  1 0 
17        156 -7100750 18  1 0 
18        131 -7084692 19  1 0 
19        129 -7035762 20  1 0 
20        78  -7022183 21  1 0 
21        181 -6872935 22  1 0 
22        37  -6840368 23  1 0 
23        186 -6784188 24  1 0 
24        29  -6760974 25  1 0 
25        159 -6696664 26  1 0 
26        35  -6444668 27  1 0 
27        68  -6425294 28  1 0 
28        27  -6397058 29  1 0 
29        172 -6375019 30  1 0 
30        22  -6372989 31  1 0 
31        178 -6331527 32  1 0 
32        142 -6282192 33  1 0 
33        97  -6278495 34  1 0 
34        77  -6257092 35  1 0 
35        113 -6210641 36  1 0 
36        101 -6169434 37  1 0 
37        114 -5934854 38  1 0 
38        89  -5902054 39  1 0 
39        21  -5768145 40  1 0 
40        240 -5765514 41  1 0 
41        15  -5727875 42  1 0 
42        67  -5662030 43  1 0 
43        179 -5466858 44  1 0 
44        132 -5455318 45  1 0 
45        99  -5437154 46  1 0 
46        152 -5411027 47  1 0 
47        11  -5398607 48  1 0 
48        16  -5392251 49  1 0 
49        55  -5379458 50  1 0 
50        239 -5347231 51  1 0 
51        167 -5257715 52  1 0 
52        93  -5147991 53  1 0 
53        145 -5023859 54  1 0 
54        171 -4969418 55  1 0 
55        187 -4895746 56  1 0 
56        56  -4891956 57  1 0 
57        7   -4880414 58  1 0 
58        227 -4858240 59  1 0 
59        244 -4850210 60  1 0 
60        192 -4750323 61  1 0 
61        23  -4735808 62  1 0 
62        209 -4534209 63  1 0 
63        194 -4520458 64  1 0 
64        98  -4394730 65  1 0 
65        229 -4244808 66  1 0 
66        211 -4231842 67  1 0 
67        46  -4225023 68  1 0 
68        173 -4158328 69  1 0 
69        63  -4108686 70  1 0 
70        238 -4101096 71  1 0 
71        174 -4040871 72  1 0 
72        250 -4037094 73  1 0 
73        169 -3931279 74  1 0 
74        237 -3819086 75  1 0 
75        217 -3818989 76  1 0 
76        217 -3668761 77  1 0 
77        107 -3647293 78  1 0 
78        108 -3522032 79  1 0 
79        151 -3461648 80  1 0 
80        119 -3448315 81  1 0 
81        57  -3356099 82  1 0 
82        83  -3327848 83  1 0 
83        163 -3313363 84  1 0 
84        212 -3280115 85  1 0 
85        39  -3238863 86  1 0 
86        76  -3183688 87  1 0 
87        153 -3103063 88  1 0 
88        133 -3042603 89  1 0 
89        228 -2889519 90  1 0 
90        59  -2838147 91  1 0 
91        125 -2832737 92  1 0 
92        182 -2657847 93  1 0 
93        176 -2601747 94  1 0 
94        191 -2480133 95  1 0 
95        94  -2472170 96  1 0 
96        82  -2456781 97  1 0 
97        134 -2216152 98  1 0 
98        17  -2214378 99  1 0 
99        73  -2198242 100 1 0 
100       52  -2187478 101 1 0 
101       135 -2134292 102 1 0 
102       147 -2127513 103 1 0 
103       195 -2056450 104 1 0 
104       252 -1987764 105 1 0 
105       233 -1986922 106 1 0 
106       45  -1922597 107 1 0 
107       183 -1920567 108 1 0 
108       184 -1861587 109 1 0 
109       0   -1565696 110 1 0 
110       54  -1545141 111 1 0 
111       116 -1522719 112 1 0 
112       69  -1491218 113 1 0 
113       8   -1486554 114 1 0 
114       109 -1441921 115 1 0 
115       49  -1417808 116 1 0 
116       143 -1399498 117 1 0 
117       219 -1330075 118 1 0 
118       126 -1144395 119 1 0 
119       96  -1122912 120 1 0 
120       71  -1030519 121 1 0 
121       85  -992966  122 1 0 
122       2   -970223  123 1 0 
123       200 -944135  124 1 0 
124       185 -922124  125 1 0 
125       110 -896156  126 1 0 
126       75  -627616  127 1 0 
127       50  -754348  128 1 0 
128       170 -649423  129 1 0 
129       255 -576183  130 1 0 
130       164 -563707  131 1 0 
131       43  -508049  132 1 0 
132       166 -401027  133 1 0 
133       175 -353174  134 1 0 
134       193 -345829  135 1 0 
135       95  -309462  136 1 0 
136       220 -270096  137 1 0 
137       245 -192627  138 1 0 
138       103 -139124  139 1 0 
139       28  -131874  140 1 0 
140       157 -28456   141 1 0 
141       106 -772     142 1 0 
142       231 19719    143 1 0 
143       247 240681   144 1 0 
144       30  1492951  145 1 0 
145       30  1370618  146 1 0 
146       30  1568188  147 1 0 
147       30  1566174  148 1 0 
148       30  1565022  149 1 0 
149       30  1565052  150 1 0 
150       30  1558014  151 1 0 
151       30  1557982  152 1 0 
152       30  1557206  153 1 0 
153       30  1559831  154 1 0 
154       30  1558617  155 1 0 
155       31  1654210  156 1 0 
156       30  1785298  157 1 0 
157       30  762392   158 1 0 
158       221 883747   159 1 0 
159       150 947077   160 1 0 
160       210 950494   161 1 0 
161       30  1008266  162 1 0 
162       226 1139874  163 1 0 
163       165 1158150  164 1 0 
164       235 1209867  165 1 0 
165       207 1305698  166 1 0 
166       146 1311420  167 1 0 
